"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"ADGofTest","ADGofTest","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"4.1.0"
"arrayhelpers","arrayhelpers","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1-0",NA,NA,"methods, utils, svUnit",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"arsenal","arsenal","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","3.6.3",NA,"R (>= 3.4.0), stats (>= 3.4.0)","knitr (>= 1.29), utils (>= 3.4.0)",NA,"broom (>= 0.7.1), magrittr, rmarkdown, testthat, xtable,
pander, survival (>= 2.43-1), coin, pROC, MASS, splines, rpart,
yaml, geepack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"askpass","askpass","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"assertthat","assertthat","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"backports","backports","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.2.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"BART","BART","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.9",NA,"R (>= 2.10), nlme, nnet, survival","Rcpp (>= 0.12.3), parallel, tools","Rcpp","MASS, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"base64enc","base64enc","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"base64url","base64url","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.4",NA,NA,"backports (>= 1.1.0)",NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"batchtools","batchtools","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.9.15",NA,"R (>= 3.0.0)","backports (>= 1.1.2), base64url (>= 1.1), brew, checkmate (>=
1.8.5), data.table (>= 1.11.2), digest (>= 0.6.9), fs (>=
1.2.0), parallel, progress (>= 1.1.1), R6, rappdirs, stats,
stringi, utils, withr (>= 2.0.0)",NA,"debugme, doParallel, doMPI, e1071, foreach, future,
future.batchtools, knitr, parallelMap, ranger, rmarkdown,
rpart, snow, testthat, tibble",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.1.0"
"bayesplot","bayesplot","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.8.1",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"BB","BB","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2019.10-1",NA,"R (>= 2.6.1)","stats, quadprog",NA,"setRNG, survival, Hmisc, numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"bdsmatrix","bdsmatrix","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.3-4",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.1.0"
"BH","BH","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.75.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.1.0"
"binom","binom","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1-1",NA,NA,NA,NA,"lattice, polynom, tcltk, ggplot2",NA,"GPL",NA,NA,NA,NA,"yes","4.1.0"
"BiocGenerics","BiocGenerics","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.38.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"bit","bit","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"bit64","bit64","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"bitops","bitops","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"blob","blob","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.2.2",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"bnlearn","bnlearn","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","4.6.1",NA,"R (>= 3.3.0), methods",NA,NA,"parallel, graph, Rgraphviz, igraph, lattice, gRain (>=
1.3-3), ROCR, Rmpfr, gmp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"bookdown","bookdown","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.22",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.6),
xfun (>= 0.22), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.2.1), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"bootstrap","bootstrap","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2019.6",NA,"stats, R (>= 2.10.0)",NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"brew","brew","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.0"
"bridgesampling","bridgesampling","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1-2",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"brio","brio","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.2",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
